,"docid","actualdate","earliestdate","firstpub","sales","recordid","OCLC","author","imprint","enumcron","title","birthdate","gender","nationality","othername","notes","path","recept","authsvols"
374,"mdp.39015016749262",1920,1920,1920,"best",780135,1839077,"Porter, Eleanor H","Boston|Houghton Mifflin company|1920",,"Mary Marie",1868,"f","us",,,"mdp/pairtree_root/39/01/50/16/74/92/62/39015016749262/mdp.39015016749262.json.bz2",,29
375,"mdp.39015024235114",1921,1921,1921,"best",404271,14010714,"Stratton-Porter, Gene","New York|Grosset & Dunlap|c1921",,"Her father's daughter",1863,"f","us",,,"mdp/pairtree_root/39/01/50/24/23/51/14/39015024235114/mdp.39015024235114.json.bz2",,44
376,"mdp.39015054090355",1920,1920,1920,"best",628802,1922605,"Lewis, Sinclair","New York|P. F. Collier & Son Corp.|c1920",,"Main street",1885,"m","us",,,"mdp/pairtree_root/39/01/50/54/09/03/55/39015054090355/mdp.39015054090355.json.bz2",,94
377,"mdp.39015063551041",1923,1923,1923,"best",244823,,"Grey, Zane","New York|London|Harper & brothers|c1923",,"Wanderer of the wasteland, | $c: by Zane Grey. With illustrations by W. Herbert Dunton.",1872,"m","us",,"grey, zane | the wanderer of the wasteland","mdp/pairtree_root/39/01/50/63/55/10/41/39015063551041/mdp.39015063551041.json.bz2",,114
378,"uc1.b3687303",1920,1920,1921,"best",10136791,,"Curwood, James Oliver","New York;Cosmopolitan Book Corp.;1920.",,"The Valley of silent men;",1878,"m","us",,"curwood, james oliver | the valley of silent men","uc1/pairtree_root/b3/68/73/03/b3687303/uc1.b3687303.json.bz2",,73
379,"mdp.39015012964071",1928,1928,1928,"best",485204,,"Deeping, Warwick","New York|A.A. Knopf|1928.",,"Old Pybus, | $c: by Warwick Deeping.",1877,"m","uk",,"deeping, warwick | old pybus","mdp/pairtree_root/39/01/50/12/96/40/71/39015012964071/mdp.39015012964071.json.bz2",,58
380,"mdp.39015063960077",1929,1929,1929,"best",326043,,"Sedgwick, Anne Douglas","Boston|New York|Houghton Mifflin company|c1929.",,"Dark Hester, | $c: by Anne Douglas Sedgwick (Mrs. Basil de Sélincourt)",1873,"f","uk",,"sedgwick, anne douglas | dark hester","mdp/pairtree_root/39/01/50/63/96/00/77/39015063960077/mdp.39015063960077.json.bz2",,50
381,"uc1.b3687211",1928,1928,1928,"best",10136755,,"Bromfield, Louis","New York|Grosset & Dunlap|1928.",,"The strange case of Miss Annie Spragg.",1896,"m","us",,"bromfield, louis | the strange case of miss annie spragg","uc1/pairtree_root/b3/68/72/11/b3687211/uc1.b3687211.json.bz2",,57
382,"mdp.39015063952744",1924,1924,1924,"best",326053,,"Sedgwick, Anne Douglas","Boston|New York|Houghton Mifflin company|1924.",,"The little French girl, | $c: by Anne Douglas Sedgwick (Mrs. Basil de Sélincourt)",1873,"f","uk",,"sedgwick, anne douglas | the little french girl","mdp/pairtree_root/39/01/50/63/95/27/44/39015063952744/mdp.39015063952744.json.bz2",,50
383,"njp.32101068971017",1921,1921,1922,"best",8975805,,"Keable, Robert","New York;E. P. Dutton & Co.;c1921.",,"Simon called Peter",1887,"m","uk",,"keable, robert | simon called peter","njp/pairtree_root/32/10/10/68/97/10/17/32101068971017/njp.32101068971017.json.bz2",,14
384,"uc1.b3569281",1928,1928,1928,"best",1186895,,"Tarkington, Booth","Garden City, N.Y.|Doubleday, Doran|1928.",,"Claire Ambler /",1869,"m","us",,"tarkington, booth | claire ambler","uc1/pairtree_root/b3/56/92/81/b3569281/uc1.b3569281.json.bz2",,207
385,"uc1.$b799208",1929,1929,1929,"best",782459,,"Ertz, Susan","New York|D. Appleton|1929.",,"The galaxy.",1889,"f","uk",,"ertz, susan | the galaxy","uc1/pairtree_root/$b/79/92/08/$b799208/uc1.$b799208.json.bz2",,24
386,"mdp.39015014497054",1922,1922,1922,"best",587696,5116650,"Burnett, Frances Hodgson","New York|Frederick A. Stokes company|c1922",,"The head of the house of Coombe",1849,"f","uk",,,"mdp/pairtree_root/39/01/50/14/49/70/54/39015014497054/mdp.39015014497054.json.bz2",,166
387,"uc1.$b243102",1929,1929,1929,"best",436319,,"Heyward, DuBose","Garden City, N.Y.|Doubleday, Doran|1929.",,"Mamba's daughters / | $c: by  Du Bose Heyward.",1885,"m","us",,"heyward, dubose | mamba's daughters","uc1/pairtree_root/$b/24/31/02/$b243102/uc1.$b243102.json.bz2",,15
388,"mdp.39015011935346",1920,1920,1920,"best",321982,1196356,"Oppenheim, E. Phillips","Boston|Little, Brown, & company|1920",,"The great impersonation",1866,"m","uk",,,"mdp/pairtree_root/39/01/50/11/93/53/46/39015011935346/mdp.39015011935346.json.bz2",,137
389,"mdp.39015063917838",1921,1921,1921,"best",285412,5273557,"Dawson, Coningsby","New York|Cosmopolitan book corporation|1921",,"The kingdom round the corner--",1883,"m","uk",,,"mdp/pairtree_root/39/01/50/63/91/78/38/39015063917838/mdp.39015063917838.json.bz2",,24
390,"mdp.39015063923943",1920,1920,1920,"best",280315,2988966,"Lincoln, Joseph Crosby","New York|A. L. Burt company|c1920",,"The Portygee",1870,"m","us",,,"mdp/pairtree_root/39/01/50/63/92/39/43/39015063923943/mdp.39015063923943.json.bz2",,92
391,"mdp.39015066062418",1929,1929,1929,"best",1030671,,"Remarque, Erich Maria","Boston|Little, Brown, and company|1929.",,"All quiet on the western front; | $c: translated from the German by A. W. Wheen.",1898,"m","german",,"remarque, erich maria | all quiet on the western front","mdp/pairtree_root/39/01/50/66/06/24/18/39015066062418/mdp.39015066062418.json.bz2",,14
392,"uc2.ark+=13960=t90865h7g",1920,1920,1920,"best",6498415,1805539,"Norris, Kathleen Thompson","Garden City, N.Y.|Doubleday, Page & Company|1920",,"Harriet and the piper",1880,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/90/86/5h/7g/ark+=13960=t90865h7g/uc2.ark+=13960=t90865h7g.json.bz2",,95
393,"uc1.$b244184",1924,1924,1924,"best",6498625,,"Fisher, Dorothy Canfield","New York|Harcourt, Brace and Company|c1924",,"The home-maker, | $c: by Dorothy Canfield.",1879,"f","us",,"fisher, dorothy canfield | the homemaker","uc1/pairtree_root/$b/24/41/84/$b244184/uc1.$b244184.json.bz2",,62
394,"mdp.39015031325825",1921,1921,1921,"best",480185,365327,"Hutchinson, A. S. M","Boston|Little, Brown, and company|1921",,"If winter comes",1880,"m","uk",,,"mdp/pairtree_root/39/01/50/31/32/58/25/39015031325825/mdp.39015031325825.json.bz2",,19
395,"mdp.39015030659869",1921,1921,1921,"best",1208195,959660,"Hémon, Louis","New York|Macmillan|1921",,"Maria Chapdelaine, a tale of the Lake St. John country",1880,"m","french",,,"mdp/pairtree_root/39/01/50/30/65/98/69/39015030659869/mdp.39015030659869.json.bz2",,12
396,"mdp.39015004930148",1925,1925,1926,"best",388484,,"Erskine, John","Indianapolis|Bobbs-Merrill|c1925",,"The private life of Helen of Troy, | $c: by John Erskine.",1879,"m","us",,"erskine, john | the private life of helen of troy","mdp/pairtree_root/39/01/50/04/93/01/48/39015004930148/mdp.39015004930148.json.bz2",,30
397,"uc1.$b242572",1926,1926,1926,"best",782646,,"Ertz, Susan","New York|D. Appleton & company|1926.",,"After noon, | $c: by Suzan Ertz.",1886,"f","uk",,"ertz, susan | after noon","uc1/pairtree_root/$b/24/25/72/$b242572/uc1.$b242572.json.bz2",,24
398,"mdp.39015063753662",1921,1921,1921,"best",244807,906029,"Atherton, Gertrude Franklin Horn","New York|Frederick A. Stokes company|c1921",,"The sisters-in-law;",1857,"f","us",,,"mdp/pairtree_root/39/01/50/63/75/36/62/39015063753662/mdp.39015063753662.json.bz2",,161
399,"uc1.$b244071",1925,1925,1925,"best",6498545,,"Parrish, Anne","New York|London|Harper & Brothers|1925.",,"The perennial bachelor / | $c: by Anne Parrish ...",1888,"f","us",,"parrish, anne | the perennial bachelor","uc1/pairtree_root/$b/24/40/71/$b244071/uc1.$b244071.json.bz2",,21
400,"mdp.39015005659381",1925,1925,1925,"best",589801,,"Kennedy, Margaret","Garden City, N. Y.|Doubleday, Page & company|1925.",,"The constant nymph, | $c: by Margaret Kennedy.",1896,"f","uk",,"kennedy, margaret | the constant nymph","mdp/pairtree_root/39/01/50/05/65/93/81/39015005659381/mdp.39015005659381.json.bz2",,16
401,"mdp.39015035315129",1920,1920,1920,"best",1029666,891210,"Wharton, Edith","New York [etc.|D. Appleton and Company|1920",,"The age of innocence",1862,"f","us",,,"mdp/pairtree_root/39/01/50/35/31/51/29/39015035315129/mdp.39015035315129.json.bz2",,121
402,"mdp.39015065540034",1921,1921,1921,"best",244817,1167705,"Grey, Zane","New York|Harper & brothers|1921",,"The mysterious rider;",1872,"m","us",,,"mdp/pairtree_root/39/01/50/65/54/00/34/39015065540034/mdp.39015065540034.json.bz2",,114
403,"mdp.39015003929844",1926,1925,1925,"best",437098,,"Gibbs, Arthur Hamilton","Boston|Little, Brown, and company|1926.",,"Soundings; | a novel, | $c: by A. Hamilton Gibbs.",1886,"m","uk",,"gibbs, a. hamilton | soundings","mdp/pairtree_root/39/01/50/03/92/98/44/39015003929844/mdp.39015003929844.json.bz2",,2
404,"uc1.b3688192",1920,1920,1920,"best",6700706,9908585,"Grey, Zane","Roslyn, N.Y.|W. J. Black|c1920.",,"The man of the forest",1872,"m","us",,,"uc1/pairtree_root/b3/68/81/92/b3688192/uc1.b3688192.json.bz2",,114
405,"mdp.39015059405202",1922,1922,1922,"best",116795,287655,"Hutchinson, A. S. M","Boston|Little, Brown, and company|1922",,"This freedom",1880,"m","uk",,,"mdp/pairtree_root/39/01/50/59/40/52/02/39015059405202/mdp.39015059405202.json.bz2",,19
406,"mdp.39015016883731",1924,1924,1925,"best",381477,,"Arlen, Michael","New York|George H. Doran company|c1924",,"The green hat, | $c: by Michael Arlen.",1895,"m","us",,"arlen, michael | the green hat","mdp/pairtree_root/39/01/50/16/88/37/31/39015016883731/mdp.39015016883731.json.bz2",,30
407,"mdp.39015011393009",1920,1920,1920,"best",286195,1718199,"Curwood, James Oliver","New York|Cosmopolitan book corporation|1920",,"The Valley of silent men;",1878,"m","us",,,"mdp/pairtree_root/39/01/50/11/39/30/09/39015011393009/mdp.39015011393009.json.bz2",,73
408,"mdp.39015031225363",1928,1928,1929,"best",431620,,"Benét, Stephen Vincent","Garden City, N.Y.|Doubleday, Doran and company, inc.|1928.",,"John Brown's body, | $c: by Stephen Vincent Benét.",1898,"m","us",,"benoit, stephen vincent | john brown's body","mdp/pairtree_root/39/01/50/31/22/53/63/39015031225363/mdp.39015031225363.json.bz2",,18
409,"mdp.39015063945672",1928,1928,1928,"best",450750,,"Parrish, Anne","New York|London|Harper and brothers|1928.",,"All kneeling, | $c: by Anne Parrish.",1888,"f","us",,"parrish, anne | all kneeling","mdp/pairtree_root/39/01/50/63/94/56/72/39015063945672/mdp.39015063945672.json.bz2",,21
410,"uc1.$b242981",1923,1923,1924,"best",6497826,,"Gibbs, Philip","London|Hutchinson and co.|1923",,"Heirs apparent: | a novel, | $c: by Philip Gibbs.",1877,"m","uk",,"gibbs, philip | the heirs apparent","uc1/pairtree_root/$b/24/29/81/$b242981/uc1.$b242981.json.bz2",,48
411,"mdp.39015030700663",1920,1920,1920,"best",591083,621056,"Kyne, Peter B","New York|Grosset & Dunlap|c1920",,"Kindred of the dust",1880,"m","us",,,"mdp/pairtree_root/39/01/50/30/70/06/63/39015030700663/mdp.39015030700663.json.bz2",,30
412,"pst.000019745510",1928,1928,1929,"best",7057710,,"Peterkin, Julia Mood","Dunwoody, Ga.|N. S. Berg|1970?, c1928].",,"Scarlet sister Mary / | $c: by Julia Peterkin.",1880,"f","us",,"peterkin, julia | scarlet sister mary","pst/pairtree_root/00/00/19/74/55/10/000019745510/pst.000019745510.json.bz2",,11
413,"uc2.ark+=13960=t01z41z3p",1921,1921,1921,"best",7677121,720592,"Wright, Harold Bell","New York [etc|D. Appleton and Company|1921",,"Helen of the old house",1872,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/01/z4/1z/3p/ark+=13960=t01z41z3p/uc2.ark+=13960=t01z41z3p.json.bz2",,36
414,"mdp.39015063926870",1922,1922,1922,"best",123862,275571,"Tarkington, Booth","Garden City, N. Y.|Doubleday, Page & company|1922",,"Gentle Julia",1869,"m","us",,,"mdp/pairtree_root/39/01/50/63/92/68/70/39015063926870/mdp.39015063926870.json.bz2",,207
415,"nyp.33433074958442",1921,1921,1921,"best",285412,,"Dawson, Coningsby","New York;Cosmopolitan book corporation;1921.",,"The kingdom round the corner--",1883,"m","uk",,"dawson, coningsby | the kingdom round the corner","nyp/pairtree_root/33/43/30/74/95/84/42/33433074958442/nyp.33433074958442.json.bz2",,24
416,"uc1.$b797653",1927,1927,1927,"best",1377344,,"Rinehart, Mary Roberts","New York|George H. Doran company|c1927",,"Lost ecstasy; | a novel, | $c: by Mary Roberts Rinehart.",1876,"f","us",,"rinehart, mary roberts | lost ecstasy","uc1/pairtree_root/$b/79/76/53/$b797653/uc1.$b797653.json.bz2",,96
417,"uc1.$b245118",1927,1927,1927,"best",1186908,,"Tarkington, Booth","Garden City, N.Y.|Doubleday, Page & company|1927.",,"The plutocrat; | a novel",1869,"m","us",,"tarkington, booth | the plutocrat","uc1/pairtree_root/$b/24/51/18/$b245118/uc1.$b245118.json.bz2",,207
418,"mdp.39015047531150",1922,1922,1922,"best",538093,1306015,"Lewis, Sinclair","New York|P. F. Collier & Son Corp.|c1922",,"Babbitt",1885,"m","us",,,"mdp/pairtree_root/39/01/50/47/53/11/50/39015047531150/mdp.39015047531150.json.bz2",,94
419,"mdp.39015003681700",1928,1928,1928,"best",432397,,"Galsworthy, John","New York|C. Scribner's sons|1928.",,"Swan song, | $c: by John Galsworthy.",1867,"m","uk",,"galsworthy, john | swan song","mdp/pairtree_root/39/01/50/03/68/17/00/39015003681700/mdp.39015003681700.json.bz2",,226
420,"uva.x030581232",1922,1922,1923,"best",9775723,,"Galsworthy, John","New York;C. Scribner's sons;1923",,"The Forsyte saga",1867,"m","uk",,"galsworthy, john | the forsyte saga","uva/pairtree_root/x0/30/58/12/32/x030581232/uva.x030581232.json.bz2",,226
421,"mdp.39015063930682",1921,1921,1921,"best",388809,187900,"Fisher, Dorothy Canfield","New York|Harcourt, Brace and company|1921",,"The brimming cup",1879,"f","us",,,"mdp/pairtree_root/39/01/50/63/93/06/82/39015063930682/mdp.39015063930682.json.bz2",,62
422,"mdp.39015063946191",1927,1927,1927,"best",247719,,"Parrish, Anne","New York|London|Harper & brothers|c1927",,"To-morrow morning, | $c: by Anne Parrish ...",1888,"f","us",,"parrish, anne | tomorrow morning","mdp/pairtree_root/39/01/50/63/94/61/91/39015063946191/mdp.39015063946191.json.bz2",,21
423,"mdp.39015026750466",1962,1926,1926,"best",1939732,,"Barton, Bruce",,,"The man nobody knows.",1886,"m","us",,"barton, bruce | the book nobody knows","mdp/pairtree_root/39/01/50/26/75/04/66/39015026750466/mdp.39015026750466.json.bz2",,2
424,"uc2.ark+=13960=t6c24vf7m",1897,1897,1897,"best",7694551,4744449,"Mitchell, S. Weir","New York|A. L. Burt|c1897",,"Hugh Wynne;",1829,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/6c/24/vf/7m/ark+=13960=t6c24vf7m/uc2.ark+=13960=t6c24vf7m.json.bz2",,152
425,"mdp.39015015368007",1898,1898,1898,"best",590996,8089410,"Kipling, Rudyard","Leipzig|B. Tauchnitz|1898",,"The day's work",1865,"m","uk",,,"mdp/pairtree_root/39/01/50/15/36/80/07/39015015368007/mdp.39015015368007.json.bz2",,540
426,"mdp.39015063973542",1898,1898,1898,"best",325108,870638,"Weyman, Stanley John","New York|Longmans, Green and Co.|1898",,"Shrewsbury;",1855,"m","uk",,,"mdp/pairtree_root/39/01/50/63/97/35/42/39015063973542/mdp.39015063973542.json.bz2",,116
427,"uc1.b3579150",1894,1894,1894,"best",6678357,19001662,"Caine, Hall","New York|D. Appleton and Company|c1894",,"The Manxman",1853,"m","uk",,,"uc1/pairtree_root/b3/57/91/50/b3579150/uc1.b3579150.json.bz2",,101
428,"uiuo.ark+=13960=t4vh67901",1891,1891,1891,"best",1426168,888639,"Barrie, J. M","London [etc.|Cassell & company, limited|1891","v. 1","The little minister",1860,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/4v/h6/79/01/ark+=13960=t4vh67901/uiuo.ark+=13960=t4vh67901.json.bz2",,178
429,"uc1.b4105551",1898,1898,1899,"best",2934018,4484777,"Westcott, Edward Noyes","New York|Grosset & Duplap|c1898.",,"David Harum",1846,"m","us",,,"uc1/pairtree_root/b4/10/55/51/b4105551/uc1.b4105551.json.bz2",,16
430,"uc1.$b249782",1895,1895,1895,"best",484766,271352,"Davis, Richard Harding","New York|Harper & brothers|1895",,"The Princess Aline",1864,"m","us",,,"uc1/pairtree_root/$b/24/97/82/$b249782/uc1.$b249782.json.bz2",,213
431,"uiuo.ark+=13960=t6m04st95",1891,1891,1891,"best",1426168,888639,"Barrie, J. M","London [etc.|Cassell & company, limited|1891","v. 3","The little minister",1860,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/6m/04/st/95/ark+=13960=t6m04st95/uiuo.ark+=13960=t6m04st95.json.bz2",,178
432,"uc2.ark+=13960=t71v5fs45",1898,1898,1898,"best",7675677,3306938,"Watts-Dunton, Theodore","New York|Dodd, Mead and company|1898",,"Aylwin",1832,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/71/v5/fs/45/ark+=13960=t71v5fs45/uc2.ark+=13960=t71v5fs45.json.bz2",,15
433,"inu.32000001871153",1899,1899,1900,"best",,,"Cholmondeley, Mary","London;Edward Arnold;1899.",,"Red pottage",1859,"f","uk",,"cholmondeley, mary | red pottage","inu/pairtree_root/32/00/00/01/87/11/53/32000001871153/inu.32000001871153.json.bz2",,34
434,"inu.32000001871153",1899,1899,1899,"best",8566373,6660388,"Cholmondeley, Mary","London|Edward Arnold|1899",,"Red pottage",1859,"f","uk",,,"inu/pairtree_root/32/00/00/01/87/11/53/32000001871153/inu.32000001871153.json.bz2",,34
435,"uva.x030749451",1894,1894,1894,"best",7657620,8088516,"Ford, Paul Leicester","New York|Henry Holt and company|c1894.",,"The honorable Peter Stirling and what people thought of him",1865,"m","us",,,"uva/pairtree_root/x0/30/74/94/51/x030749451/uva.x030749451.json.bz2",,47
436,"uva.x000208724",1914,1895,1895,"best",9794402,1814073,"Crane, Stephen","New York|D. Appleton and Company|1914",,"The red badge of courage;",1871,"m","us",,,"uva/pairtree_root/x0/00/20/87/24/x000208724/uva.x000208724.json.bz2",,41
437,"mdp.39015065437900",1896,1896,1896,"best",392310,3544872,"Frederic, Harold","Chicago|Stone & Kimball|1896",,"The damnation of Theron Ware",1856,"m","us",,,"mdp/pairtree_root/39/01/50/65/43/79/00/39015065437900/mdp.39015065437900.json.bz2",,43
438,"nyp.33433076056922",1897,1895,1895,"best",8660396,22881211,"Phelps, Elizabeth Stuart","Boston|Houghton, Mifflin and company|1897",,"A singular life",1844,"f","us",,,"nyp/pairtree_root/33/43/30/76/05/69/22/33433076056922/nyp.33433076056922.json.bz2",,51
439,"uc1.b3327303",1898,1898,1898,"best",7923160,5428466,"Mitchell, S. Weir","New York|Grossett & Dunlap|1898",,"The adventures of Francois",1829,"m","us",,,"uc1/pairtree_root/b3/32/73/03/b3327303/uc1.b3327303.json.bz2",,152
440,"nyp.33433074845995",1897,1897,1897,"best",6131639,272031,"Davis, Richard Harding","New York|C. Scribner's sons|1897",,"Soldiers of fortune",1864,"m","us",,,"nyp/pairtree_root/33/43/30/74/84/59/95/33433074845995/nyp.33433074845995.json.bz2",,213
441,"nyp.33433076033954",1898,1898,1898,"best",8660691,18343077,"Smith, Francis Hopkinson","New York|Regent Press|c1898.",,"Caleb West, master diver",1838,"m","us",,,"nyp/pairtree_root/33/43/30/76/03/39/54/33433076033954/nyp.33433076033954.json.bz2",,155
442,"uc2.ark+=13960=t71v5r667",1893,1893,1893,"best",7707855,8509956,"Harraden, Beatrice","Boston|C.E.Brown|1893",,"Ships that pass in the night",1864,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/71/v5/r6/67/ark+=13960=t71v5r667/uc2.ark+=13960=t71v5r667.json.bz2",,34
443,"nyp.33433074857511",1897,1897,1897,"best",7662562,5753805,"Hope, Anthony","New York|F. A. Stokes|c1897.",,"Phroso",1863,"m","uk",,,"nyp/pairtree_root/33/43/30/74/85/75/11/33433074857511/nyp.33433074857511.json.bz2",,147
444,"uc1.b3326073",1898,1898,1898,"best",7922848,3122744,"Smith, Francis Hopkinson","New York|Grosset & Dunlap|1898",,"Caleb West",1838,"m","us",,,"uc1/pairtree_root/b3/32/60/73/b3326073/uc1.b3326073.json.bz2",,155
445,"uc2.ark+=13960=t16m3bj9x",1893,1893,1893,"best",7704864,6161631,"Weyman, Stanley John","London|Longmans, Green|1893","v.3","A gentleman of France",1855,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/16/m3/bj/9x/ark+=13960=t16m3bj9x/uc2.ark+=13960=t16m3bj9x.json.bz2",,116
446,"uiuo.ark+=13960=t5t733b8r",1891,1891,1891,"best",1426168,888639,"Barrie, J. M","London [etc.|Cassell & company, limited|1891","v. 2","The little minister",1860,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5t/73/3b/8r/ark+=13960=t5t733b8r/uiuo.ark+=13960=t5t733b8r.json.bz2",,178
447,"uc2.ark+=13960=t7pn8xx37",1895,1895,1895,"best",7649666,7114268,"Stockton, Frank Richard","New York|C. Scribner's Sons|1895",,"The adventures of Captain Horn",1864,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7p/n8/xx/37/ark+=13960=t7pn8xx37/uc2.ark+=13960=t7pn8xx37.json.bz2",,162
448,"nyp.33433076051303",1898,1898,1898,"best",628576,6934859,"Major, Charles","Indianapolis, Ind.|Bowen-Merrill company|c1898].",,"When knighthood was in flower;",1856,"m","us",,,"nyp/pairtree_root/33/43/30/76/05/13/03/33433076051303/nyp.33433076051303.json.bz2",,21
449,"mdp.39015063964301",1894,1894,1894,"best",,,"Maclaren, Ian","London;Hodder and Stoughton;1894.",,"Beside the bonnie brier bush",1850,"m","uk",,"maclaren, ian | beside the bonnie brier bush","mdp/pairtree_root/39/01/50/63/96/43/01/39015063964301/mdp.39015063964301.json.bz2",,30
450,"nyp.33433074968532",1894,1894,1895,"best",8665063,285133,"Du Maurier, George","Leipzig|Tauchnitz|1894",,"Trilby",1834,"m",,,,"nyp/pairtree_root/33/43/30/74/96/85/32/33433074968532/nyp.33433074968532.json.bz2",,19
451,"nyp.33433076090905",1899,1899,1899,"best",326842,1198944,"Frederic, Harold","New York|F. A. Stokes company|c1899",,"The market-place",1856,"m","us",,,"nyp/pairtree_root/33/43/30/76/09/09/05/33433076090905/nyp.33433076090905.json.bz2",,43
452,"mdp.39015063740164",1897,1897,1897,"best",242916,544175,"Allen, James Lane","New York|The Macmillan company|1897",,"The choir invisible",1849,"m","us",,,"mdp/pairtree_root/39/01/50/63/74/01/64/39015063740164/mdp.39015063740164.json.bz2",,75
453,"mdp.39015002646134",1897,1896,1896,"best",1774986,9499197,"Steel, Flora Annie Webster","London|W. Heinemann|1897",,"On the face of the waters",1847,"f","uk",,,"mdp/pairtree_root/39/01/50/02/64/61/34/39015002646134/mdp.39015002646134.json.bz2",,50
454,"uc2.ark+=13960=t7vm4bq74",1893,1893,1893,"best",7704864,6161631,"Weyman, Stanley John","London|Longmans, Green|1893","v.1","A gentleman of France",1855,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7v/m4/bq/74/ark+=13960=t7vm4bq74/uc2.ark+=13960=t7vm4bq74.json.bz2",,116
455,"uc1.b3569209",1898,1898,1898,"best",6676267,10321106,"Page, Thomas Nelson","New York|C. Scribner|1898",,"Red Rock",1853,"m","us",,,"uc1/pairtree_root/b3/56/92/09/b3569209/uc1.b3569209.json.bz2",,156
456,"uc1.$b684887",1896,1896,1896,"best",9977504,,"Maclaren, Ian","London|Hodder and Stoughton|1896",,"Kate Carnegie and those ministers",1850,"m","uk",,,"uc1/pairtree_root/$b/68/48/87/$b684887/uc1.$b684887.json.bz2",,30
457,"uc2.ark+=13960=t0ft8p04b",1893,1893,1893,"best",7704864,6161631,"Weyman, Stanley John","London|Longmans, Green|1893","v.2","A gentleman of France",1855,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/0f/t8/p0/4b/ark+=13960=t0ft8p04b/uc2.ark+=13960=t0ft8p04b.json.bz2",,116
458,"mdp.39015027815433",1898,1898,1898,"best",784789,2728024,"Ward, Mary Augusta","London|Smith, Elder & co.|1898",,"Helbeck of Bannisdale",1851,"f","uk",,,"mdp/pairtree_root/39/01/50/27/81/54/33/39015027815433/mdp.39015027815433.json.bz2",,190
459,"uc1.b3146409",1898,1898,1898,"best",5956021,169974,"Wiggin, Kate Douglas Smith","Boston|Houghton, Mifflin and Co.|1898",,"Penelope's progress",1856,"f","us",,,"uc1/pairtree_root/b3/14/64/09/b3146409/uc1.b3146409.json.bz2",,119
460,"nyp.33433074800883",1896,1895,1895,"best",1027045,271266,"Bangs, John Kendrick","New York|Harper & brothers|1896",,"A house-boat on the Styx;",1862,"m","us",,,"nyp/pairtree_root/33/43/30/74/80/08/83/33433074800883/nyp.33433074800883.json.bz2",,95
461,"uc1.b4557760",1926,1896,1896,"best",9501869,,"Parker, Gilbert","London|G.G. Harrap|c1926",,"The seats of the mighty; | being the memoirs of Captain Robert Moray, sometime an officer in the Virginia regiment, and afterwards of Amherst's regiment.",1862,"m","ca",,"parker, gilbert | the seats of the mighty;","uc1/pairtree_root/b4/55/77/60/b4557760/uc1.b4557760.json.bz2",,156
462,"njp.32101068175320",1897,1897,1897,"best",7686389,13303002,"Caine, Hall","London|W. Heinemann|1897",,"The Christian;",1853,"m","uk",,,"njp/pairtree_root/32/10/10/68/17/53/20/32101068175320/njp.32101068175320.json.bz2",,101
463,"nyp.33433074936554",1896,1896,1896,"best",1426201,5160353,"Barrie, J. M","London [etc. etc.|Cassell & co.|1896",,"Sentimental Tommy",1860,"m","uk",,,"nyp/pairtree_root/33/43/30/74/93/65/54/33433074936554/nyp.33433074936554.json.bz2",,178
464,"uc2.ark+=13960=t6g15w00s",1898,1898,1898,"best",7667901,2117735,"Parker, Gilbert","Boston|Houghton, Mifflin and Company|1898",,"The battle of the strong;",1862,"m","ca",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/6g/15/w0/0s/ark+=13960=t6g15w00s/uc2.ark+=13960=t6g15w00s.json.bz2",,156
465,"mdp.39015049217741",1892,1892,1892,"best",207878,2541507,"Doyle, Arthur Conan","New York|Harper & Bros.|1892",,"Adventures of Sherlock Holmes",1859,"m","uk",,,"mdp/pairtree_root/39/01/50/49/21/77/41/39015049217741/mdp.39015049217741.json.bz2",,157
466,"uc1.$b405094",1895,1895,1895,"best",1786762,1215693,"Maartens, Maarten","New York|Harper & brothers|1895",,"My Lady Nobody;",1858,"m","dutch",,,"uc1/pairtree_root/$b/40/50/94/$b405094/uc1.$b405094.json.bz2",,55
467,"mdp.39015004288471",1899,1899,1899,"best",663376,270936,"Churchill, Winston","New York|The Macmillan Company|1899",,"Richard Carvel",1871,"m","us",,,"mdp/pairtree_root/39/01/50/04/28/84/71/39015004288471/mdp.39015004288471.json.bz2",,67
468,"uc2.ark+=13960=t11n7z639",1895,1895,1895,"best",1776446,3696346,"Zangwill, Israel","New York|Harper & brothers|c1895",,"The master",1864,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/11/n7/z6/39/ark+=13960=t11n7z639/uc2.ark+=13960=t11n7z639.json.bz2",,71
