docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,shorttitle,category
uc1.b4381449,"Byron, Gilbert",,,m,us,1903-1991,1990,,1990,2,2,,Baltimore|Johns Hopkins U,Fiction,Fishers|Fiction,Done crabbin' : Noah leaves the river,novel
mdp.39015032394960,"Trollope, Joanna",,,f,uk,b. 1943,1979,1978,1979,1,1,,New York|E. P. Dutton|197,Fiction,"Fiction|Waterloo, Battle ",Eliza Stanhope,novel
uva.x004065574,"Butterworth, Hezekiah",,,m,us,1839-1905.,1894,,1894,1,1,,Boston;Este;1894,Juvenile audience|NotFict,,"The parson's miracle, and My grandmother's grandmother's Christmas candle; Christmas in America;",shortstories
uc2.ark+=13960=t3gx4dk9q,"Harley, George Davies",,,m,uk,-1811,1804,,1804,2,2,,Liverpool;J. M'Creery;180,,"Montford, Charles","Circumstances respecting the late Charles Montford, esq",novel
nyp.33433074942685,"Johnston, Algernon Sidney",,,m,us,1801-1853.,1832,,1832,2,2,,"Columbia, S. C.;Telescope",NotFiction,,Memoirs of a nullifier,novel
nyp.33433075818439,"Gr�ville, Henry","Durand, Alice","Gr�ville, Henry",f,fr,1842-1902.,1892,,1892,1,1,,New York;Worthington Co.;,Fiction,,The heiress,novel
uc1.32106011001762,"Astley, Thea",,,f,au,1925-2004,1994,,1994,1,1,,New York|G.P. Putnam's So,Fiction|Black humor,Fiction|Older women,Coda,novel
mdp.39015041722193,"Adirex, Paul",Adireksarn. Pongpol,"Adirex, Paul",m,th,b. 1942,1997,1995,1997,1,1,,"Bangkok, Thailand|Aries B",Fiction,,Mekong : a fantastic adventure about the search for MIAs and lost treasure in Laos,novel
nyp.33433074938014,"Burchell, Sidney Herbert",,,m,,,1899,,1899,1,1,,"Boston;Little, Brown & Co",Fiction,English fiction,The duke's servants; a romance,novel
pst.000056848915,"Roberts, Nora",,,f,us,b. 1950,2001,,2001,1,1,,New York|Jove Books|c2001,"Love stories, American|No",Policewomen|Witches|New E,Heaven and earth,novel
uc1.32106005499782,Colette,"Collete, Sidonie-Gabrielle",,f,fr,1873-1954.,1955,,1954,1,1,,"New York|Farrar, Straus a",NotFiction,,Seven,novel
uc1.$b243695,"Mitchell, Ruth Comfort",,,f,us,1882-1954.,1933,,1933,1,1,v.2,New York|London|D. Applet,Fiction,,Fire! (The fifties,novel
uc1.$b104493,"Youngs, Delight",,,u,,,1955,,1955,1,1,,"New York|Dodd, Mead|1955",Fiction,,The Gladesman,novel
pst.000015218490,"Franklin, Miles","Franklin, Stella Maria Sarah Miles",,f,au,1879-1954.,1931,,1931,1,1,,London|C. Palmer|1931].,NotFiction,,"Old Blastus of Bandicoot on a pioneer, tufted with ragged rhymes",novel
uc2.ark+=13960=t71v5d644,"Smart, Hawley","Smart, Henry Hawley",,m,uk,1833-1893.,1882,1881,1882,2,2,,"London;Ward, Lock;1882",,,The great tontine,novel
mdp.39015064793170,,,,,,,1900,1704,1900,1,1,v.7,S.l.;s.n.;Privately print,NotFiction,,The book of the thousand nights and a night : a plain and literal translation of the Arabian nights entertainments,reprint
uc1.32106002189600,"Tanning, Dorothea",,,f,us,1910-2012.,1977,,1977,1,1,,New York|Standard Edition,NotFiction,,Abyss,novel
uc1.b250095,"Lister, T. H. $q (Thomas Henry)",,,m,uk,1800-1842,1828,,1828,11,11,v.3,London;Henry Colburn ...;,NotFiction,,Herbert Lacy,novel
uc1.$b104509,"Wilson, Ethel",,,f,ca,1888-1980.,1953,,1952,1,1,,"New York|Harper|1953, c19",Fiction,,Lilly's story,novel
mdp.39015030741972,"Dodd, Martha",,,f,us,1908-1990.,1945,,1945,3,3,,"New York|Harcourt, Brace ",Novel|Fiction,,Sowing the wind,novel
njp.32101063603573,"Leslie, Madeline","Baker, Harriette Newell Woods","Leslie, Madeline",f,us,1815-1893.,1869,,1869,1,1,,Boston;Henry A. Young;186,Fiction,,"The violet-girls : or, Susy and Louise",juvenile
uiuo.ark+=13960=t3tt53x7z,"Harding, Anne Raikes",,,f,uk,1780-1858.,1819,,1819,3,3,v.1,London;Printed for Longma,,,Decision,novel
inu.30000005359421,"Gilman, Caroline (Howard)","Gilman, Caroline Howard",,f,us,1794-1888.,1864,1850,1844,1,1,,New York;Blakeman & Mason,Juvenile audience|Fiction,,Stories and poems for children,juvenile | shortstories
nyp.33433007280138,"Mayhew, Henry",,,m,,1812-1887.,1861,,1861,2,2,v. 3,"London;Griffin, Bohn, and",NotFiction,London|Prostitution|Chari,"The London street-folk; comprising, Street sellers. Street buyers. Street finders. Street performers. Street artizans. Street labourers.--[Extra volume] Those that will not work. Comprising, Prostitutes. Thieves. Swindlers. Beggars. By several contributors. With introductory essay on the agencies at present in operation in the metropolis for the suppression of vice and crime. By the Rev. William Tuckniss",nonfic
uc2.ark+=13960=t16m33f86,"Jay, W. M. L",,,m,,1833-1909,1874,,1874,2,2,,New York;E.P. Dutton;1874,,,Holden with the cords,novel
nyp.33433074880000,"Sargent, George E. (George Etell)",,,m,us,1808 or 9-1883.,1860,,1860,1,1,,New York;American Tract S,NotFiction,,The little sea-bird,novel
aeu.ark:/13960/t22c08w6m,"Crofts, Freeman Wills",,,m,ir,1879-1957.,1929,1923,1929,1,1,,Toronto|T. Allen|192-?,Novel,Roman policier anglais|De,The Groote Park murder,novel
mdp.39015024086509,"Hong, Edna H. (Edna Hatlestad)","Hong, Edna Hatlestad | Hong, Howard V.",,o,us| us,1913-2007.,1943,,1943,1,1,,"Minneapolis, Minn.|Augsbu",Fiction,,Muskego boy,novel
uiuo.ark+=13960=t8rb7pg9t,Scott,"Scott, Caroline Lucy",,f,uk,1784-1857,1856,,1856,3,3,v.1,London;R. Bentley;1856.,,,The old grey church,novel
uc1.$b102210,"Hornblow, Leonora",,,f,us,1920-2005.,1950,,1950,1,1,,New York|Random House|195,NotFiction,,Memory and desire,novel
uc1.b5177491,"Ilham, Abu",,,,,1968-,2006,,2006,1,1,,Calicut|Other Books|2006.,Poetry,Spiritual life|Poetry|Ind,"Mystic mist : defining the purpose of life, the submission",poetry
uc1.$b458168,"Gerst�cker, Friedrich",,,m,de,1816-1872.,1871,,1871,1,1,,New York;Beadle;c1871,Fiction,,"The giant trailer; or, The lost scalp. A romance of the gold regions",novel
mdp.39015063955465,"Green, Anna Katharine",,,f,us,1846-1935.,1881,,1881,2,2,,New York;G. P. Putnam's s,Fiction,,The sword of Damocles : a story of New York life,novel
nyp.33433076082019,"Macdonald, Robert",,,m,us,,1897,,1897,1,1,,New York;F.A. Munsey;1897,Fiction,American fiction,"In the region of Boris, a tale of Carpathia",novel
njp.32101066459445,"Gooch, Elizabeth Sarah Villa-Real",,,f,uk,1757-1807,1804,,1804,2,2,v.3,London;Highley;1804.,NotFiction,,"Sherwood forest; or, Northern adventures; a novel",novel
mdp.39015061425164,"Lessing, Doris May",,,f,uk,1919-2013,2005,,2005,1,1,,London|New York|Fourth Es,Love stories|Fiction,Fiction|Global environmen,"The story of General Dann and Mara's daughter, Griot and the snow dog",novel
mdp.39015031242285,"Lyons, Edward",,,m,us,,1973,,1973,1,1,,New York|Horizon Press|19,Fiction,,Portrait of a summer virgin,novel
uc1.$b298877,"Hagedorn, Hermann",,,m,us,1882-1964.,1927,,1927,1,1,,New York|London|Harper & ,NotFiction,Fiction|Spanish-American ,The Rough Riders : a romance,novel
nnc1.0315302644,"Scott, Honoria",,,f,,,1810,,1810,8,8,v.3,London;Dick;1810.,Fiction,,"Amatory tales of Spain, France, Switzerland, and the Mediterranean: containing The fair Andalusian; Rosolia of Palermo; and The Maltese portrait: interspersed with pieces of original poetry",novel
uiuo.ark+=13960=t70v93r77,"Opie, Amelia Alderson",,,f,uk,1769-1853.,1805,1804,1805,2,2,v.3,"London;Longman, Hurst, Re",,,Adeline Mowbray,novel
mdp.39015008639851,"Harrison, Harry",,,m,us,1925-2012,1972,,1972,1,1,,New York|Putnam|1972,Fiction,,Tunnel through the deeps,novel
uiuo.ark+=13960=t6pz5v56p,"Peregrine, Peter",,,m,,,1809,,1809,4,4,v.2,London;R. Spencer;1809.,,,Matilda Montfort,novel
njp.32101062933443,"West, (Jane), Mrs",,,f,uk,1758-1852.,1814,,1814,3,3,v. 2,"London;Longman, Hurst, Re",Fiction,,Alicia de Lacy : an historical romance,novel
nyp.33433075768253,"Wilkins, George",,,m,uk,1785-1865.,1826,,1826,1,1,,"London;Longman, Rees, Orm",Fiction,English fiction,The convert,novel
nyp.33433075744981,"Oppenheim, E. Phillips (Edward Phillips)",,,m,uk,1866-1946.,1912,,1912,3,3,,New York;P.F. Collier & s,Fiction,English fiction,Peter Ruff and the Double-four,shortstories
uc2.ark+=13960=t4qj7976b,"Pococurante de Peudemots, Jean",,,m,,,1817,,1817,1,1,,"Edinburgh;For Macredie, S",,,Fragments and fictions,novel
nyp.33433074875760,"M'Henry, James","McHenry, James",,m,us,1785-1845.,1825,,1825,2,2,v. 1,Philadelphia;A. R. Poole;,Fiction,Irish fiction|History|Fic,The hearts of steel : an Irish historical tale of the last century,novel
uc1.b3575554,"Godwin, William",,,m,uk,1756-1836.,1833,,1833,6,6,v.2,London;R. Bentley;1833.,NotFiction,823G54D,Deloraine,novel
mdp.39015008606157,"Grekova, I","Venttsel, Elena Sergeevna","Grekova, Irina",f,ru,1907-2002,1983,,1983,2,2,,San Diego|Harcourt Brace ,Fiction,Women|Fiction|Social life,Russian women : two stories,novel
uc2.ark+=13960=t4mk67860,"Lytton, Edward Bulwer Lytton, Baron",,,m,uk,1803-1873.,1859,1846,1859,1,1,v.40,Edinburgh;London;W. Black,,,Novels of Sir Edward Bulwer Lytton,novel
mdp.39015063544459,"Cox, Florence Tinsley",,,f,,1877-1940.,1909,,1909,2,2,,"Boston;Small, Maynard & c",NotFiction,,The chronicles of Rhoda,juvenile
mdp.39015084095309,"Dinsdale, Robert",,,m,uk,b. 1981,2009,,2009,1,1,,London|Faber and Faber|20,Novel,Leeds|England|Fiction|Bel,The harrowing,novel
uc2.ark+=13960=t95718s83,"Kimball, Richard B. (Richard Burleigh)",,,m,,1816-1892.,1862,,1862,2,2,,New York;Putnam;1862.,,,Student's abroad,novel
mdp.39015063924248,"Mallock, W. H. (William Hurrell)",,,m,uk,1849-1923.,1892,,1892,3,3,v.1,"London;Chapman and Hall, ",NotFiction,,"A human document, a novel",novel
nyp.33433076084478,"Hughes, Rupert",,,m,us,1872-1956.,1914,,1914,1,1,,"New York;A.L. Burt;1916, ",Fiction,American fiction,Clipped wings : a novel,novel
mdp.39015031933875,"Waage, Johan",,,m,no,1912-1975,1964,,1964,2,2,,London|Harrap|1964,NotFiction,"Narvik, Battle of, Narvik",The Narvik campaign,novel
uc2.ark+=13960=t8x923k22,,,,,,,1913,,1913,1,1,v.02,Albany;J.B. Lyon;c1913-c1,,German literature|Transla,The German classics of the nineteenth and twentieth centuries,reprint
mdp.39015009231708,"Day, Thomas",,,m,uk,1748-1789.,1803,,1789,11,3,,London;Printed for B. Cro,Juvenile audience|Fiction,Juvenile literature|1748-,The history of Sandford and Merton,juvenile
nyp.33433074862370,"Calhoun, Alice J",,,f,us,,1902,,1902,1,1,,New York;Washington;The N,Fiction,,When yellow jasmine blooms : a story of the southland,novel
njp.32101068170206,"Harland, Henry",,,m,us,1861-1905.,1900,,1900,1,1,,New York;Street & Smith;1,NotFiction,,"Grandison Mather, or, An account of the fortunes of Mr. and Mrs. Thomas Gardiner",novel
wu.89058512377,"Schuyler, Keith C",,,m,,,1969,,1969,1,1,,"South Brunswick, N.J.|A.S",NotFiction,"Aerial operations, Americ",Elusive horizons,novel
uva.x030284935,,,,,,,1901,1721,1901,1,1,v.2,London;s.n.;1901.,NotFiction,,The book of the thousand nights and one night,reprint
uc1.b70887,"Schwartz, Marie Sofie","Schwartz, Maria Sophie",,f,swe,1819-1894,1871,1861,1871,1,1,,Boston;Lee and Shepard;Ne,,,Birth and education,novel
wu.89087923314,"Banim, John",,,m,ir,1798-1842.,1826,,1826,6,6,v.3,London;H. Colburn;1826.,Fiction,Fiction,"Tales by the O'Hara family : second series : comprising the Nowlans, and Peter of the castle",novel
uc1.$b800550,"White, Jane",,,f,uk,1934-,1969,1967,1968,1,1,,"New York|Harcourt, Brace ",Fiction,,"Beatrice, falling",novel
nyp.33433075762322,"Wood, Ellen",,,f,uk,1814-1887.,1866,,1866,2,1,,Philadelphia;T.B. Peterso,Fiction,English fiction,Elster's folly,novel
njp.32101066164730,"Blanchard, Amy Ella",,,f,us,1856-1926.,1900,,1900,1,1,,Boston;Chicago;W. A. Wild,Juvenile audience|Fiction,"Revolution, 1775-1783|His",A daughter of freedom; a story of the latter period of the war for independence,novel
pst.000005762347,"Hawthorne, Nathaniel",,,m,us,1804-1864.,1882,1860,1864,1,1,v.6,"Boston;Houghton, Mifflin;",NotFiction,,Works,novel
uc2.ark+=13960=t15m62q48,"Calkins, Frank W. (Frank Welles)",,,m,us,1857-1928.,1902,,1902,2,2,,Chicago;New York [etc.;F.,,Fiction|Dakota Indians,Two wilderness voyagers;,novel
nyp.33433082352067,"baron de, Lamothe-Langon, Etienne-L�on",,,m,fr,1786-1864.,1830,1829,1830,8,4,v. 3,"London;Whittaker, Treache",ContainsBiogMaterial|NotF,"comtesse|Du Barry, Jeanne",Memoirs of Madame Du Barri,novel
inu.39000000391446,"MacGill, Patrick",,,m,ir,1890-1963.,1982,1982,1963,3,3,,"Horsham, Sussex|Caliban B",Fiction|Historical fictio,Prostitutes|Glasgow|Scotl,The rat-pit,novel
uc1.b3548269,"James, Henry",,,m,,1843-1916.,1907,,1907,1,1,v. 12,New York;Scribner's;1907-,Fiction,,The novels and tales of Henry James,novel
uc2.ark+=13960=t16m39m6z,"Bede, Cuthbert","Bradley, Edward","Bede, Cuthbert M.",m,uk,1827-1889.,1857,,1857,2,2,,London;R. Bentley;1857.,,,Nearer and dearer,novel
loc.ark+=13960=t5r78mh70,"[Hawks, Francis Lister]","Hawks, Francis Lister",,m,us,1798-1866,1844,,1844,1,1,,New York;Harper & brother,,History|Virginia|Colonial,History of the United States: no. I,nonfic
mdp.39015054266831,"Faber, Michel",,,m,ne,b. 1960,2002,,2002,1,1,,Edinburgh|Canongate|2002.,Fiction,Vocal ensembles|Fiction,The Courage Consort,novel
uiuo.ark+=13960=t9g450k2g,"Beale, Anne",,,f,,,1860,,1860,3,3,v.2,London;T. C. Newby;1860.,,,Country landlords,novel
nyp.33433074946900,"Coates, E",,,f,uk,,1879,,1879,1,1,,London;The Religious Trac,Fiction,English fiction,While they are with us,juvenile
inu.30000057511846,"Nwabuokei, Maxwell",,,m,ni,,1995,,1995,1,1,,"Ibadan, Nigeria|Caltop Pu",Fiction,,The curse of destiny,novel
mdp.39015014583051,,,,u,,,1938,1932,1932,1,1,,New York|E. P. Dutton & c,Fiction,,The land of nursery rhyme,juvenile
mdp.39015005665032,"Compton-Burnett, I. (Ivy)",,,f,uk,1884-1969.,1955,,1955,3,3,,London|V. Gollancz|1955.,Fiction|NotFiction,,Mother and son,novel
uc1.b3727985,"Smith, Thorne","Smith, James Thorne ","Smith, Thorne",m,us,1892-1934.,1933,,1933,1,1,,"Garden City, N. Y.|Double",NotFiction,,Rain in the doorway,novel
uc2.ark+=13960=t31266s6k,"Taylor, Meadows","Taylor, Philip Meadows",,m,uk,1808-1876.,1865,,1865,6,6,v.1,Edinburgh;W. Blackwood;18,Fiction,India|Fiction|1526-1765|H,Ralph Darnell,novel
njp.32101020529507,"Arnim, Bettina von",,,m,de,1785-1859.,1838,,1838,1,1,,Berlin;Trowitzsch;1838.,NotFiction,,The diary of a child,novel
pst.000004786672,"Chase, James Hadley",,,m,uk,1906-1985,1947,1941,1947,1,1,,London|Jarrolds|1947].,NotFiction,,Twelve Chinks and a Woman,novel
mdp.39015048749934,"Sterling, Bruce",,,m,us,b. 1954,1999,,1999,1,1,,"New York, NY|Bantam Books",Fiction,"Fantasy fiction, American",A good old-fashioned future : stories,shortstories
mdp.39015062850154,"Matheson, Richard",,,m,us,1926-2013,2003,1989,2003,1,1,v.1,"Colorado Springs, CO|Edge",Short stories,"Science fiction, American",Collected stories,shortstories
uiuo.ark+=13960=t0ns1cv4p,"Sedley, Charles",,,m,uk,,1807,,1807,2,2,v.1,London;Printed by D.N. Sh,,,The barouche driver and his wife,reprint
mdp.39015077627878,"Hewton, Maida",,,f,,1963-,2008,,2008,1,1,,"Wellesley, Ont.|Atoll Boo",Novel,,Double up,novel
nc01.ark+=13960=t2d79c553,"Reid, Christian",,,m,,1846-1920.,1878,,1878,1,1,,New York;D. Appleton and ,,,A summer idyl,novel
nyp.33433006539153,"Paddock, Judah",,,m,,1767-1823.,1818,,1818,3,3,,London;Printed for Longma,UnknownGenre|NotFiction,Slavery|Oswego (Ship)|Afr,"A narrative of the shipwreck of the Oswego, on the coast of South Barbary, and of the sufferings of the master and the crew while in bondage among the Arabs; interspersed with numerous remarks upon the country and its inhabitants and the peculiar perils of that coast",novel
njp.32101076479813,"Verne, Jules",,,m,fr,1828-1905.,1911,1886,1905,1,1,v.14,New York;V. Parke;c1911.,Fiction,,Ro,novel
uc1.b4368241,"Asch, Sholem",,,m,po,1880-1957.,1943,,1943,4,4,,New York|G.P. Putnam's So,Fiction,N.T|Paul|Fiction|History ,The apostle,novel
mdp.39015011028746,Plutarch,,,m,,,1932,96,1932,1,1,,Oxford|The Clarendon pres,UnknownGenre,Sources|1564-1616|Shakesp,"Plutarch's lives of Coriolanus, Caesar, Brutus, and Antonius in North's translation",reprint
uc2.ark+=13960=t9m32pt34,"King, Charles",,,m,us,1844-1933.,1905,1904,1905,1,1,,New York;The H.B. Claflin,,,The medal of honor;,novel
uc1.$b236167,"Davis, Elmer Holmes",,,m,us,1890-1958.,1925,,1925,2,2,,New York|R. M. McBride|19,Fiction,,The keys of the city,novel
uc1.$b267544,"Wilhelm, Gale",,,f,us,1908-1991,1936,,1936,1,1,,New York|Random House|c19,NotFiction,,No letters for the dead,novel
mdp.39015011300863,"Bulliet, Richard W",,,m,us,b. 1940,1979,,1979,1,1,,New York|Harper & Row|c19,Fiction,,The tomb of the twelfth imam,novel
mdp.39015014442340,"Hood, Hugh",,,m,ca,1928-2000,1964,,1964,1,1,,New York|Dutton|1964.,UnknownGenre,,"White figure, white ground",novel
mdp.39015033398812,"Schnitzler, Arthur",,,m,aus,1862-1931.,1929,,1929,2,2,,New York|Simon and Schust,NotFiction,Austrian fiction|Translat,Little novels,novel
mdp.39015056838231,"Martin, Lee",,,m,us,1955-,2003,,2003,1,1,,Lincoln|University of Neb,Fiction|ContainsBiogMater,Family|Farm life|Homes an,Turning bones,novel
inu.30000000836357,"Gungah, Hurduthlall",,,,ma,,1986,,1986,1,1,,"Stanley, Rose Hill, Mauri",Fiction,,Damyanti and the treasure hunt,novel
wu.89099760266,"Hurst, Fannie",,,m,us,1889-1968.,1936,,1936,1,1,,New York|London|Harper & ,NotFiction,,Great laughter,novel
mdp.39015059400344,"Deobhankar, N. R",,,m,in,,1949,,1949,2,2,,Bombay|Nalanda Publicatio,Fiction,,Hemakumari and other stories,shortstories
mdp.39015070464147,"Hubbard, Elbert",,,m,us,1856-1915.,1890,,1890,8,7,v.3 no.10 Jane Austen,c[189-?-,UnknownGenre|NotFiction,Painters|1775-1817|Homes ,Little journeys to the homes of,novel
mdp.49015001334144,"D�rrenmatt, Friedrich",,,m,swi,1921-1990,1962,1951,1961,1,1,,"London|J. Cape|1962, c196",NotFiction,,The quarry,novel
mdp.39015078569491,"Williams, William","Pantycelyn, William Williams","Williams, William",m,uk,1717-1791.,1815,,1791,12,12,v.1,London;J. Murray;1815.,NotFiction,"Eagles, John|ed|1783-1855","The journal of Llewellin Penrose, a seaman",novel
nyp.33433076045297,"Morse, Lucy Gibbons",,,f,us,1839-1936.,1893,,1893,1,1,,"Boston;Houghton, Mifflin ",Juvenile audience|Fiction,,"Rachel Stanwood, a story of the middle of the nineteenth century",novel
mdp.39076002244478,"Lawson, Marie A. (Marie Abrams)",,,f,us,1894-1956.,1946,,1946,1,1,,New York|The Viking press,Fiction,Juvenile fiction|Vocation,The sea is blue,novel
loc.ark+=13960=t87h28463,"Julius, Emanuel. [from old catalog]","Haldeman-Julius, Emanuel",,m,us,1889-1951,1916,,1916,1,1,,"Girard, Kan.;E. Julius;c1",,,The color of life;,novel
mdp.39015058831424,"Collison, Kerry B",,,m,au,,2002,,2002,1,1,,"Hartwell, Vic., Australia",Novel,Government policy|Fiction,Indonesian gold,novel
mdp.39015032951694,"Conlon, Evelyn",,,f,ir,b. 1952,1993,,1993,1,1,,Belfast|Blackstaff Press|,Fiction,Fiction,Taking scarlet as a real colour,novel
mdp.39015031228573,"Davis, Kenneth S. (Kenneth Sydney)",,,m,us,1912-1999.,1942,,1942,1,1,,Boston|Houghton Mifflin c,Fiction,,In the forests of the night,novel
nyp.33433074812458,"Dejeans, Elizabeth","Budgett, Frances Elizabeth Janes","Dejeans, Elizabeth",f,us,1873-1928,1909,,1909,3,3,,Philadelphia;London;J. B.,Fiction,,The winning chance,novel
mdp.39015046006675,"Wendel, Tim",,,m,us,,1999,,1999,1,1,,New York|Ballantine Books,Fiction,"Fiction|Castro, Fidel|Tra",Castro's curveball,novel
mdp.39015003940841,"Glasgow, Ellen Anderson Gholson",,,f,us,1873-1945.,1926,,1926,5,4,,"Garden City, N. Y.|Double",Fiction|NotFiction,,The romantic comedians,novel
uc1.32106013300873,"Orwell, George",,,m,uk,1903-1950.,1934,,1934,5,5,,"New York|Harcourt, Brace|",Fiction|NotFiction,,Burmese days; a novel,novel
mdp.39015014169653,"Simenon, Georges",,,m,be,1903-1989.,1983,,1983,2,2,,San Diego|Harcourt Brace ,Fiction,,The long exile,novel
mdp.39015040844386,Karim Raslan,"Raslan, Karim",,m,mal,b. 1963,1996,,1996,1,1,,Singapore|Times Books Int,NotFiction,Malay fiction|Heroes in l,Heroes and other stories,shortstories
uiuo.ark+=13960=t6rx9nf53,"Goodrich, A. M",,,u,,,1857,,1857,3,3,v.1,London;J.W. Parker;1857.,,English fiction,The myrtle and the heather,novel
njp.32101065835371,"Sadlier, J, Mrs","Sadlier, Mary Anne","Salider, Mrs. J",f,ir,1820-1903.,1885,,1885,1,1,,"New York, Montreal;D.&J. ",Fiction,,"The old house by the Boyne ; or, Recollections of an Irish borough",novel
njp.32101068142080,"Linley, W. (William)",,,m,uk,1771-1835.,1800,,1800,2,2,v.2,London;W. Lane;1800.,NotFiction,,Forbidden apartments : a tale,novel
nyp.33433074878236,"Lee, Hannah Farnham Sawyer",,,f,,1780-1865.,1839,,1839,2,2,,Cambridge;J. Owen;1839.,Fiction,,"Rosanna; or, Scenes in Boston.  A story",novel
mdp.39015002753161,"Sackville-West, V. (Victoria)","Sackville-West, Victoria",,f,uk,1892-1962.,1932,,1932,2,2,,"Garden City, N.Y.|Doubled",Short stories,,"Thirty clocks strike the hour, and other stories",shortstories
uc1.b4557361,,,,,,,1997,,1997,1,1,,Srinagar (J.K.)|PEN Produ,Fiction,"Short stories, Kashmiri|T",A book of Kashmiri short stories,shortstories
uc2.ark+=13960=t0ns0rq5j,"Fullerton, Georgiana Charlotte Seveson-Gower, Lady",,,f,uk,1812-1885,1847,,1847,5,4,v.3,London;E. Moxon;1847.,Fiction,,Grantley Manor,novel
uc2.ark+=13960=t0pr7mx0s,"Hubbard, Elbert","Hubbard, Elbert Green",,m,us,1856-1915.,1894,,1894,2,2,,Boston;Arena Pub. Co.;189,,,Forbes of Harvard,novel
mdp.39015063524527,"Wilcox, Constance Grenelle",,,f,us,,1925,,1925,1,1,,New York|London|D. Applet,Fiction,,The blue and green mat of Abdul Hassan; an Arabian adventure,novel
mdp.39015042826951,"Tennant, Emma",,,f,uk,1937-2017,1996,,1996,1,1,,London|New York|Simon & S,Fiction,,Elinor and Marianne : a sequel to Sense and sensibility,novel
pst.000006682088,"James, G. P. R. (George Payne Rainsford)",,,m,uk,1799-1860.,1840,,1840,7,7,v.1,Harper;1840.,Fiction|NotFiction,France|Fiction|Huguenots,"The man-at-arms, or, Henry de Cerons",novel
uc2.ark+=13960=t8sb3xw2h,"McCutcheon, George Barr",,,m,us,1866-1928.,1922,,1922,2,2,,"New York;Dodd, Mead and c",,,Yollop,novel
dul1.ark+=13960=t6737pj6n,Berquin,"Berquin, Arnaud",,m,fr,1747-1791,1804,,1804,4,3,,New-York;Printed for S. C,,"Van Boskerck, William Web","The looking-glass for the mind; or, Intellectual mirror",juvenile
mdp.39015063947199,,,,m,,,1800,,1800,1,1,,Southwark [London;J. Ker;,Fiction,,"The prophetic warning; or, The castle of Lindendorff. An original romance",novel
uc1.b4451102,"Mayer, Robert",,,m,,1939-,1979,,1979,1,1,,New York|Viking Press|197,Fiction,,The execution,novel
uc2.ark+=13960=t74t6mg3p,"Pearce, J. H. (Joseph Henry)","Pearce, Joseph Henry",,m,uk,1856-1938,1893,,1893,1,1,,London;Lawrence;1893.,,,Drolls from shadowland,novel
inu.30000054117191,"Sewell, Elizabeth Missing",,,m,uk,1815-1906.,1856,,1856,6,5,v.1,"London;Longman, Brown, Gr",Fiction,,Ivors,novel
nyp.33433074868237,"Hogg, James",,,m,uk,1770-1835.,1818,,1818,5,5,v. 2,Edinburgh;W. Blackwood;Lo,NotBiographical|NotFictio,,"The brownie of Bodsbeck, and other tales",novel
mdp.39015012113810,"More, Hannah",,,f,uk,1745-1833.,1818,,1818,2,2,v.1 1918,London;Printed for T. Cad,Fiction,,Stories for the middle ranks of society and tales for the common people,shortstories
nyp.33433067296644,"Opie, Amelia Alderson",,,f,uk,1769-1853.,1841,1825,1841,1,1,v. 3,Philadelphia;Crissy & Mar,Fiction,,The works of Mrs. Amelia Opie; complete in three volumes,novel
nyp.33433074919949,,"Burney, Frances",,f,uk,1752-1840,1820,1778,1820,1,1,"v. 39, part 2 (Evelina)",London;s.n.;1820.,NotFiction,English literature,"The British novelists; with an essay, and prefaces, biographical and critical",reprint
njp.32101076516465,"Simms, William Gilmore",,,m,us,1806-1870.,1838,,1838,3,3,v.2,Philadelphia;E.L. Carey &,Fiction,American fiction,"Richard Hurdis, or, The avenger of blood : a tale of Alabama",novel
mdp.39015047597136,"Russ, Joanna",,,f,us,1937-2011.,1977,1975,1975,1,1,,"Boston|Gregg Press|1977, ",UnknownGenre,,The female man,novel
nyp.33433076067085,"King, Grace Elizabeth",,,f,us,1852-1932.,1893,,1893,5,4,,New York;The Century co.;,Fiction|NotFiction,,Balcony stories,shortstories
mdp.39015027528697,"Lucas, Charles",,,m,uk,1769-1854.,1802,1801,1802,1,1,v.4,London;Printed at the Min,Fiction,,The infernal Quixote. A tale of the day,novel
uc2.ark+=13960=t6f18vg1z,"Rooper, George",,,f,,,1870,,1870,2,2,,London;J.S. Virtue & co.;,NotFiction,Shooting|Folklore|Salmon ,"Flood, field and forest",novel
mdp.39015030719226,"Westover, Clyde C",,,m,,,1912,,1912,2,2,,New York;Neale;1912.,Fiction,,The dragon's daughter,juvenile
wu.89098878499,"Champney, Elizabeth W. (Elizabeth Williams)",,,m,,1850-1922.,1885,1884,1885,2,2,,"Boston;Estes and Lauriat,",Peru|NotFiction|Travel li,Description and travel,"Three Vassar girls in South America : a holiday trip of three college girls through the southern continent, up the Amazon, down the Madeira, across the Andes, and up the Pacific coast to Panama",novel
mdp.49015000940776,"Sanborn, Kate",,,f,us,1839-1917.,1885,,1885,3,3,,New York;London;Funk & Wa,NotFiction,Women|Wit and humor,The wit of women,novel
uc2.ark+=13960=t0tq5vc52,,,,u,,,1819,,1819,1,1,,London;Kerby;1819.,,,The two clerks of Oxenford; and Where can it be?,novel
